Fab Name,Country,Capacity (WSPM),Construction Duration (Months),Status,Source URL,Notes
VSMC Singapore (VIS/NXP JV),Singapore,55000,30,PLANNED,https://www.nxp.com/company/about-nxp/newsroom/NW-VSMC-V3,"Groundbreaking Dec 2024, initial production 2027"
SK Hynix Yongin Semiconductor Cluster (1st fab),South Korea,200000,26,PLANNED,https://news.skhynix.com/sk-hynix-board-approves-yongin-semiconductor-cluster-plan/,"Construction Mar 2025, completion May 2027"
TSMC Fab 18 (Tainan),Taiwan,83000,24,ACTUAL,https://pr.tsmc.com/english/news/1951,"Groundbreaking Jan 2018, volume production early 2020"
GlobalFoundries Fab 8 Malta,USA,60000,36,ACTUAL,https://en.wikipedia.org/wiki/GlobalFoundries,"Construction July 2009, mass production 2012"
Intel Fab 42 Arizona,USA,62500,24,ACTUAL,https://www.tomshardware.com/news/intels-long-awaited-fab-42-is-fully-operational,"Construction 2011-2013; fab sat idle until 2017"
SK Hynix M16 Icheon,South Korea,100000,30,ACTUAL,https://news.skhynix.com/sk-hynix-announces-the-completion-of-m16-plant-construction/,"Construction Nov 2018, production H2 2021"
Micron Fab 10 Singapore (Expansion),Singapore,140000,24,ACTUAL,https://www.pmo.gov.sg/Newsroom/DPM-Heng-Swee-Keat-at-the-Opening-of-Microns-Expanded-Fabrication-Facility,"Construction Apr 2018, volume production 2020"
Samsung Pyeongtaek Line 1,South Korea,150000,26,ACTUAL,https://news.samsung.com/global/samsung-electronics-begins-mass-production-at-new-semiconductor-plant-in-pyeongtaek-south-korea,"Groundbreaking May 2015, mass production July 2017"
SMIC Shenzhen 12-inch fab,China,5000,12,PLANNED,https://www.smics.com/en/site/news_read/4550,"Construction end 2016, early production end 2017"
GlobalFoundries Fab 1 Module 3 Dresden,Europe,80000,27,ACTUAL,https://www.eib.org/en/projects/all/20100652,"Extension to existing Fab 1; H2 2010 to end 2012"
Pragmatic Semiconductor FlexLogic 001 Durham,Europe,4000,12,ACTUAL,https://www.pragmaticsemi.com/newsroom/press-releases/scale-production-flex-ic-2018,"Flexible semiconductor fab; 2017 to early 2018"
TSMC Fab 15 Phase 1 (Taichung),Taiwan,4000,11,ACTUAL,https://pr.tsmc.com/english/news/1698,"Construction July 2010, equipment move-in mid-2011"
TSMC Fab 21 Phase 1 (Arizona),USA,20000,16,ACTUAL,https://www.tomshardware.com/news/tsmc-fab-21-arizona,"Building structure Mar 2021 to July 2022"
SMIC Fab 8 S2 (Shanghai),China,20000,19,ACTUAL,https://www.industryweek.com/leadership/companies-executives/article/21933839/smic-shanghais-first-12-inch-wafer-manufacturing-line,"Construction Oct 2005, pilot production July 2007"
Sanan IC Changsha Fab,China,30000,11,ACTUAL,https://www.yolegroup.com/industry-news/hunan-sanan-inaugurates-chinas-first-vertically-integrated-silicon-carbide-production-line/,"Groundbreaking July 2020, operational June 2021"
Sanan IC Xiamen Fab,China,30000,15,ACTUAL,https://www.sanan-e.com/en/about.html,"Founded 2014, risk production Oct 2015"
